,uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration,h/s
35516,spotify:track:6k8kLJFmWkHaTbSLUhJ3H0,0.952,0.169,0.379,0.29,4,0.00106,0.118,-8.485,0.051,166.467,201080,s
35517,spotify:track:7snmvZMLdGGk3l9PcvoYSM,0.525,0.231,0.739,0.341,10,1.1e-06,0.072,-9.971,0.0378,80.958,266000,s
35518,spotify:track:4GGSmoTmc5LClrowB4SmEw,0.527,0.694,0.637,0.661,5,0.0,0.18,-5.217,0.05,151.148,162034,s
35519,spotify:track:0a1iq9R4xIsbSvgc1Y4SzM,0.0407,0.378,0.555,0.611,10,0.0,0.118,-4.842,0.0344,89.763,220840,s
35520,spotify:track:1SoR3NCP3P9dtdoTnpPNi1,0.957,0.239,0.551,0.0754,6,0.0,0.154,-14.203,0.059,98.348,305676,s
35521,spotify:track:4W8sUeokQKfHt1uTXp0Jq0,0.0563,0.146,0.83,0.583,0,0.0005,0.109,-2.052,0.0412,134.0,200673,s
35522,spotify:track:1hWYT0w2R0J19rlVkiez7X,0.186,0.494,0.517,0.811,5,0.0,0.105,-4.526,0.286,168.269,250320,s
35523,spotify:track:14qN5DxHq8Fuq1DVexM6cc,0.486,0.227,0.664,0.594,4,0.000776,0.106,-5.93,0.0302,98.054,243883,s
35524,spotify:track:0OtXQRsVbB8f6rCHPb6AMV,0.701,0.191,0.434,0.135,3,0.000268,0.118,-20.791,0.0335,85.099,206505,s
35525,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.74,0.483,0.652,0.557,1,0.0,0.124,-5.714,0.0318,150.073,169354,s
35526,spotify:track:7HEKtfiRkyExK66PPcHg2J,0.757,0.163,0.585,0.213,7,0.0,0.0838,-10.386,0.0645,76.228,207229,s
35527,spotify:track:52zi5wIuqnj9h1AFMtRjPF,0.706,0.0815,0.677,0.377,4,0.00202,0.108,-12.424,0.089,167.899,180000,s
35528,spotify:track:2aTKpT0NZZzP2apzhZaH5Q,0.208,0.0931,0.669,0.427,0,0.0215,0.116,-8.697,0.0704,81.073,130370,s
35529,spotify:track:5CGvytIsnIiVxv7UMJ7F2U,0.104,0.443,0.701,0.544,11,0.00163,0.0993,-7.173,0.0295,120.048,133696,s
35530,spotify:track:6DPKcUR5mITQ9QDA20Oma9,0.839,0.157,0.642,0.183,0,0.000197,0.135,-10.774,0.065,70.008,135182,s
35531,spotify:track:4pzHttByEEz4RGusRAnBac,0.96,0.309,0.621,0.232,9,6.65e-05,0.083,-13.661,0.0531,138.979,224905,s
35532,spotify:track:0YoklaId8tTddV2DYWGnr3,0.0077,0.0853,0.654,0.46,9,9.52e-05,0.0843,-10.903,0.0501,131.94,182727,s
35533,spotify:track:6nYEkOrpEjeNV3MBLwoZBG,0.934,0.287,0.313,0.286,10,0.0451,0.0974,-10.593,0.0324,80.925,208504,s
35534,spotify:track:6aE6CzNEDwYQiJJY3uYxY6,0.689,0.621,0.718,0.441,8,0.00091,0.22,-6.888,0.348,186.011,158387,s
35535,spotify:track:51ckGe0hHTYDgvNauPObTO,0.746,0.239,0.747,0.37,2,0.0,0.101,-14.45,0.175,103.118,102359,s
35536,spotify:track:6700Z4Izi8EbB6JNthU6Ma,0.443,0.162,0.688,0.53,11,0.0,0.0995,-5.507,0.0333,106.958,205687,s
35537,spotify:track:10F7XNXFkQgn1mGqQiqb8s,0.407,0.298,0.496,0.313,10,0.175,0.11,-23.04,0.0648,134.861,175056,s
35538,spotify:track:4h0zU3O9R5xzuTmNO7dNDU,0.965,0.348,0.71,0.0565,7,0.0,0.0889,-15.099,0.0534,123.994,275280,s
35539,spotify:track:7vRriwrloYVaoAe3a9wJHe,0.687,0.18,0.492,0.275,6,0.0,0.101,-13.4,0.3,92.6,251034,s
35540,spotify:track:5Zl4VMcBAiQLvhCjfoZOPL,0.471,0.818,0.789,0.427,8,0.0,0.162,-11.146,0.223,143.988,203474,s
35541,spotify:track:7og8H373RSYdEIiwLM47Xm,0.937,0.613,0.749,0.452,0,0.0,0.19,-8.275,0.113,125.048,207360,s
35542,spotify:track:19Avv3LHnNln0x47Q7dkYE,0.161,0.506,0.61,0.688,10,0.0,0.154,-5.706,0.503,162.007,119966,s
35543,spotify:track:2eIbES1FtX0XzfZIXPjMKD,0.617,0.759,0.937,0.431,8,0.0,0.0859,-9.596,0.366,124.982,293407,s
35544,spotify:track:5UH0iZQJa4nUiDKScuHwld,0.147,0.637,0.792,0.825,0,0.0,0.112,-4.058,0.391,152.061,115757,s
35545,spotify:track:3SXQp3lWZsVlyswIwKM3ec,0.151,0.667,0.844,0.595,10,0.0,0.1,-9.959,0.29,125.034,107520,s
35546,spotify:track:0jUymmyGIYxlAzPZknzdsS,0.0196,0.737,0.667,0.705,11,0.0,0.126,-5.195,0.144,159.819,136000,s
35547,spotify:track:4mxYRytT7CkeBfhkF7Vzzj,0.052,0.456,0.73,0.842,1,0.0,0.169,-2.721,0.0499,82.496,168915,s
35548,spotify:track:4S1InjxycqxAhPAwwMBIec,0.237,0.536,0.617,0.5,5,0.0,0.135,-10.379,0.0592,77.522,139392,s
35549,spotify:track:11xPCG4pp0ha4Irqy5VbCL,0.244,0.51,0.726,0.43,0,0.0,0.0838,-13.761,0.0658,80.978,131328,s
35550,spotify:track:6MQC32krqt3FOukcGyGL5W,0.183,0.745,0.819,0.748,7,0.0,0.129,-4.956,0.358,148.066,155707,s
35551,spotify:track:4xWtPuStJMJ5SZ0hzR1l0Z,0.0049,0.232,0.877,0.307,6,0.0,0.131,-13.652,0.477,140.038,137143,s
35552,spotify:track:5s8b9TuTp1omlmCDaKBI3W,0.0803,0.345,0.725,0.403,10,0.0,0.154,-9.107,0.0586,85.037,158335,s
35553,spotify:track:3X3ngfFGKqzChgJkJ6nTop,0.371,0.433,0.48,0.722,8,1.91e-05,0.139,-6.395,0.152,137.93,223190,s
35554,spotify:track:2Bu1kmXnZ5STae6MEorsh0,0.305,0.5,0.847,0.528,0,0.766,0.123,-11.2,0.0452,141.062,136170,s
